,Unnamed: 0.1,Unnamed: 0,Time,Velocity,Acceleration,LongitudeGPS,LatitudeGPS,TrackID
1460,1460,21326,1616796199.4,31.643620553799376,-0.0192875809876408,-86.7117738,36.1004967,392.0
1465,1465,21331,1616796199.9,31.37121170691232,-0.19,-86.7117463,36.1004635,385.0
1470,1470,21336,1616796200.4,31.010932940827967,-0.19,-86.7117183,36.100430200000005,385.2998770200509
1475,1475,21341,1616796200.9,30.67262812795199,-0.39,-86.7116905,36.100397,389.0297954442085
1480,1480,21346,1616796201.4,30.28273703686572,-0.39,-86.7116632,36.10036420000001,385.0
1485,1485,21351,1616796201.9,29.8731688974106,-0.19,-86.711636,36.1003315,385.0
1490,1490,21356,1616796202.4,29.55186730969015,-0.1922067298754415,-86.7116095,36.1002992,387.7351492492676
1495,1495,21361,1616796202.9,29.09579007171463,-0.39,-86.7115837,36.100267,385.0
1500,1500,21366,1616796203.4,28.80261243344392,-0.19,-86.7115582,36.1002352,390.2180728871657
1505,1505,21371,1616796203.9,28.677477408154648,0.0,-86.7115328,36.100204,392.0
1510,1510,21376,1616796204.4,29.48,0.8045857158465965,-86.71150779999999,36.1001732,392.0
1515,1515,21381,1616796204.9,30.504957664904623,0.98,-86.7114832,36.1001427,385.0
1520,1520,21386,1616796205.4,31.41,0.8211568037445671,-86.711458,36.1001123,392.0
1525,1525,21391,1616796205.9,31.927042019237724,0.39,-86.7114322,36.10008079999999,387.639360751704
1530,1530,21396,1616796206.4,32.44923350183185,0.630212124433449,-86.7114053,36.1000483,391.8388861734646
1535,1535,21401,1616796206.9,33.179271465423064,0.7436144578313253,-86.7113778,36.100015,390.0585816163473
1540,1540,21406,1616796207.4,32.89517069460876,-0.39,-86.71134980000001,36.0999813,390.4372149949893
1545,1545,21411,1616796207.9,32.37030906580592,-0.59,-86.7113213,36.0999468,392.0
1550,1550,21416,1616796208.4,31.778771324881173,-0.39,-86.7112928,36.0999118,385.0
1555,1555,21421,1616796208.9,31.256919418173776,-0.4122984159150329,-86.7112645,36.09987720000001,390.06022880745167
1560,1560,21426,1616796209.4,30.26902308821567,-1.17,-86.71123670000001,36.0998432,391.839141308828
1565,1565,21431,1616796209.9,28.794353735531395,-1.467363898943366,-86.7112093,36.0998097,392.0
1570,1570,21436,1616796210.4,27.32243507954576,-1.37,-86.71118270000001,36.0997768,385.0
1575,1575,21441,1616796210.9,25.80762174244709,-1.57,-86.7111568,36.0997453,392.0
1580,1580,21446,1616796211.4,24.300470851228614,-1.4827463437052255,-86.71113249999999,36.0997152,385.0
1585,1585,21451,1616796211.9,22.80982660919694,-1.57,-86.7111098,36.0996865,385.0
1590,1590,21456,1616796212.4,21.39892579630532,-1.37,-86.71108819999999,36.0996597,385.0
1595,1595,21461,1616796212.9,20.02895050503232,-1.37,-86.7110678,36.0996345,385.0
1600,1600,21466,1616796213.4,18.77972283872801,-1.37,-86.71104820000001,36.0996108,392.0
1605,1605,21471,1616796213.9,17.58749661741143,-0.9896591361597068,-86.71103000000001,36.099588700000005,389.40408369044616
1610,1610,21476,1616796214.4,16.622437936121493,-0.98,-86.7110128,36.099568,385.0
1615,1615,21481,1616796214.9,15.723636045038326,-0.78,-86.71099699999999,36.0995487,386.9793609778106
1620,1620,21486,1616796215.4,14.858357593508597,-0.78,-86.7109825,36.09953,385.0
1625,1625,21491,1616796215.9,14.001286110287838,-0.78,-86.71096870000001,36.0995123,387.6231145443979
1630,1630,21496,1616796216.4,13.180756276520508,-0.8724478191586629,-86.7109557,36.099496,390.7363763036777
1635,1635,21501,1616796216.9,12.347497005566124,-0.78,-86.7109428,36.0994807,385.99658207312433
1640,1640,21506,1616796217.4,11.370682906978894,-0.98,-86.7109308,36.0994662,385.0
1645,1645,21511,1616796217.9,10.455093581559964,-0.78,-86.7109197,36.0994527,385.0
1650,1650,21516,1616796218.4,9.568020686412789,-0.78,-86.7109095,36.0994398,391.29124224591095
1655,1655,21521,1616796218.9,8.836945332270862,-0.98,-86.7109002,36.099428,387.98184211588784
1660,1660,21526,1616796219.4,8.670382657571725,0.0,-86.710891,36.0994175,390.40618489575706
1665,1665,21531,1616796219.9,8.550195801844051,-0.0295304101300505,-86.7108828,36.09940770000001,390.0886516979554
1670,1670,21536,1616796220.4,8.49,0.0,-86.710875,36.0993987,385.0
1675,1675,21541,1616796220.9,8.4166624650876,0.0,-86.71086729999999,36.0993893,387.6125522463592
1680,1680,21546,1616796221.4,8.52,0.19,-86.7108597,36.09938029999999,390.7309995307368
1685,1685,21551,1616796221.9,9.094217392138432,0.92875170998632,-86.7108522,36.0993715,390.0815313530077
1690,1690,21556,1616796222.4,10.202721180349132,1.17,-86.71084470000001,36.0993628,392.0
1695,1695,21561,1616796222.9,11.314209145601009,1.17,-86.710837,36.0993537,390.076180310808
1700,1700,21566,1616796223.4,12.370381502050892,0.98,-86.71082870000001,36.099343700000006,392.0
1705,1705,21571,1616796223.9,13.318429854846494,0.98,-86.7108192,36.0993325,392.0
1710,1710,21576,1616796224.4,14.127749694694469,0.58,-86.7108093,36.09932020000001,385.26273284796014
1715,1715,21581,1616796224.9,14.59503031944216,0.39,-86.7107985,36.09930670000001,392.0
